order_id,product_name,phone,order_date,order_time,payment_mode,amount
100001,USB Cable,6478252222,2025-04-01,17:22,Cash on Delivery,20408
100002,Laptop,8447705864,2025-04-02,14:31,Net Banking,22362
100003,Mouse,7903259674,2025-04-03,12:32,Cash on Delivery,43516
100004,Headphones,9301563627,2025-04-04,15:01,PayPal,26631
100005,Mouse,7397784761,2025-04-05,15:02,Wallet,46799
100006,Headphones,9091202252,2025-04-06,11:30,Net Banking,8762
100007,Keyboard,9128148965,2025-04-07,13:04,Wallet,3790
100008,Mouse,6852719713,2025-04-08,12:08,Credit Card,43633
100009,USB Cable,6529991668,2025-04-09,17:41,Wallet,9060
100010,Mouse,9221942012,2025-04-10,18:08,Credit Card,32189
100011,Monitor,6696748013,2025-04-11,16:32,Credit Card,30146
100012,Mouse,8279369630,2025-04-12,09:47,Credit Card,13725
100013,Monitor,9760184241,2025-04-13,17:33,Debit Card,35576
100014,Keyboard,7711972592,2025-04-14,15:41,Bank Transfer,28939
100015,Laptop,7478489940,2025-04-15,09:03,Debit Card,29267
100016,USB Cable,8139428034,2025-04-16,13:13,Credit Card,26719
100017,Laptop,8481941286,2025-04-17,10:04,Net Banking,32923
100018,Keyboard,9619903543,2025-04-18,18:29,PayPal,19726
100019,USB Cable,6226030289,2025-04-19,09:30,Cash on Delivery,278
100020,Headphones,6613539934,2025-04-20,13:23,Wallet,40643
100021,USB Cable,6478252222,2025-04-01,17:22,Cash on Delivery,20408
100022,Laptop,8447705864,2025-04-02,14:31,Net Banking,22362
100023,Mouse,7903259674,2025-04-03,12:32,Cash on Delivery,43516
100024,Headphones,9301563627,2025-04-04,15:01,PayPal,26631
100025,Mouse,7397784761,2025-04-05,15:02,Wallet,46799
100026,Headphones,9091202252,2025-04-06,11:30,Net Banking,8762
100027,Keyboard,9128148965,2025-04-07,13:04,Wallet,3790
100028,Mouse,6852719713,2025-04-08,12:08,Credit Card,43633
100029,USB Cable,6529991668,2025-04-09,17:41,Wallet,9060
100030,Mouse,9221942012,2025-04-10,18:08,Credit Card,32189
100031,Monitor,6696748013,2025-04-11,16:32,Credit Card,30146
100032,Mouse,8279369630,2025-04-12,09:47,Credit Card,13725
